                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.9892,                 2.8192,                 2.2521,                0.18506,                0.36196,                0.26514,                0.13069,                 1.9208,                 2.6245,                 2.5814,               0.008449,               0.008449,               0.008449
                     49,                 1.9645,                 2.8894,                 2.3143,                0.38806,                0.26695,                0.33085,                0.12713,                 2.0659,                 3.6074,                 2.8533,               0.008416,               0.008416,               0.008416
                     50,                 1.9584,                 2.8184,                 2.2443,                0.41906,                0.50982,                0.45861,                0.23854,                 1.9408,                 2.5445,                 2.6252,               0.008383,               0.008383,               0.008383
                     51,                 1.9162,                 2.7375,                 2.2198,                0.44229,                0.44231,                0.32101,                0.17658,                  1.929,                 2.7068,                 2.5892,                0.00835,                0.00835,                0.00835
                     52,                 1.8435,                 2.6261,                 2.1581,                0.75577,                0.44231,                0.57679,                 0.3582,                 1.9267,                 2.5024,                 2.5865,               0.008317,               0.008317,               0.008317
                     53,                 1.9121,                 2.7031,                 2.2122,                 0.1823,                0.24224,                0.24255,                0.10625,                 1.8418,                 2.5564,                 2.4812,               0.008284,               0.008284,               0.008284
                     54,                 1.8974,                  2.676,                 2.1822,                0.51787,                0.51923,                0.54735,                0.27568,                 1.8146,                 2.5951,                 2.4677,               0.008251,               0.008251,               0.008251
                     55,                 1.8326,                 2.6491,                 2.1351,                0.46477,                0.62907,                0.49197,                0.21813,                 2.0259,                 2.7424,                  2.688,               0.008218,               0.008218,               0.008218
                     56,                 1.8673,                  2.718,                 2.1689,                0.23447,                0.59615,                 0.2441,                0.12765,                 1.8272,                  2.541,                 2.5281,               0.008185,               0.008185,               0.008185
                     57,                 1.8404,                 2.6264,                 2.1165,                0.17401,                0.28258,                0.18557,                0.09493,                 2.1246,                 3.2116,                  2.794,               0.008152,               0.008152,               0.008152
                     58,                 1.8135,                 2.5419,                 2.0926,                0.60096,                0.59615,                0.64173,                0.33533,                 1.7012,                 2.3324,                 2.3155,               0.008119,               0.008119,               0.008119
                     59,                 1.7792,                 2.4856,                 2.0894,                0.31028,                0.67308,                0.46966,                0.21833,                 1.8532,                 2.1621,                 2.3721,               0.008086,               0.008086,               0.008086
                     60,                 1.8497,                 2.5368,                 2.0735,                0.34109,                0.59615,                0.36446,                0.17299,                 1.8723,                 2.4846,                 2.5453,               0.008053,               0.008053,               0.008053
                     61,                 1.7815,                 2.4365,                 2.0659,                0.59339,                0.73077,                0.71909,                0.35441,                 1.7855,                 2.0655,                 2.3373,                0.00802,                0.00802,                0.00802
                     62,                 1.8183,                 2.4885,                 2.1146,                0.49143,                0.73077,                0.52085,                0.20724,                 1.9003,                 2.2821,                 2.4762,               0.007987,               0.007987,               0.007987
                     63,                 1.7905,                 2.4351,                 2.0748,                0.40127,                0.59318,                0.48447,                0.23944,                 1.8138,                 1.9917,                 2.4073,               0.007954,               0.007954,               0.007954
                     64,                   1.81,                 2.5106,                 2.1186,                0.36633,                 0.8978,                0.45671,                0.22314,                 1.7597,                 2.0332,                 2.3805,               0.007921,               0.007921,               0.007921
                     65,                   1.76,                 2.3824,                 2.0611,                0.50569,                0.74838,                0.53799,                0.25245,                 1.8709,                  2.036,                 2.5023,               0.007888,               0.007888,               0.007888
                     66,                 1.7612,                 2.4486,                 2.0621,                0.45282,                0.80127,                0.48312,                0.26624,                 1.7242,                 2.0428,                 2.2768,               0.007855,               0.007855,               0.007855
                     67,                 1.7368,                  2.422,                 2.0259,                0.58541,                0.80769,                0.76657,                0.37789,                 1.7713,                 1.8159,                 2.3742,               0.007822,               0.007822,               0.007822
                     68,                 1.7499,                 2.3543,                 2.0512,                0.48314,                0.85733,                0.52843,                0.26772,                 1.7644,                 1.7475,                 2.3548,               0.007789,               0.007789,               0.007789
                     69,                 1.6846,                 2.2575,                 1.9778,                0.35171,                0.59615,                0.40784,                0.21138,                 1.6966,                 2.0072,                 2.3259,               0.007756,               0.007756,               0.007756
                     70,                 1.7434,                 2.3631,                 2.0585,                0.73344,                0.78585,                0.91189,                0.45328,                 1.6711,                   1.82,                 2.3023,               0.007723,               0.007723,               0.007723
                     71,                 1.7463,                 2.3047,                 2.0183,                0.41645,                0.71154,                0.59223,                0.29131,                 1.7707,                 2.0641,                 2.3823,                0.00769,                0.00769,                0.00769
                     72,                 1.7043,                 2.3284,                 2.0291,                0.45685,                0.77601,                0.55755,                0.31064,                 1.6937,                 2.0558,                 2.3962,               0.007657,               0.007657,               0.007657
                     73,                 1.7703,                 2.3541,                 2.0574,                0.78034,                0.34857,                0.59173,                0.26013,                 2.0339,                 2.5904,                 2.6738,               0.007624,               0.007624,               0.007624
                     74,                 1.6685,                 2.2717,                 1.9623,                0.63892,                0.57692,                0.62003,                0.24622,                 1.8889,                  2.186,                 2.4604,               0.007591,               0.007591,               0.007591
                     75,                 1.7284,                 2.2642,                 2.0251,                0.15826,                0.30769,                0.30466,                0.13474,                 1.9737,                  2.897,                 2.7746,               0.007558,               0.007558,               0.007558
                     76,                 1.5667,                    inf,                 1.8226,                0.42032,                0.73077,                0.46511,                0.21411,                 1.7533,                 2.0019,                 2.3381,               0.007525,               0.007525,               0.007525
                     77,                 1.6407,                 2.1787,                   1.96,                0.48617,                 0.7679,                0.54026,                0.28276,                 1.6204,                 1.9427,                 2.2626,               0.007492,               0.007492,               0.007492
                     78,                 1.6855,                 2.1541,                  1.949,                0.57105,                0.84615,                0.59503,                0.26365,                 1.8048,                  1.755,                 2.4736,               0.007459,               0.007459,               0.007459
                     79,                 1.6308,                 2.1439,                 1.9172,                      1,                0.71984,                0.93891,                0.44454,                 1.7421,                 1.6431,                 2.4177,               0.007426,               0.007426,               0.007426
                     80,                 1.6674,                 2.1869,                 1.9306,                 0.7008,                0.63462,                 0.8176,                 0.3902,                 1.7158,                 1.7331,                 2.3322,               0.007393,               0.007393,               0.007393
                     81,                 1.6523,                  2.135,                 1.9557,                0.63427,                0.92308,                0.81726,                0.40136,                 1.7321,                 1.4961,                 2.2957,                0.00736,                0.00736,                0.00736
                     82,                 1.6343,                 2.1563,                 1.9227,                0.65987,                0.51008,                0.53633,                0.26005,                 1.8246,                 1.7591,                 2.3841,               0.007327,               0.007327,               0.007327
                     83,                 1.6211,                 2.1692,                 1.9048,                0.49495,                0.75808,                0.62583,                0.34163,                 1.5914,                 1.6937,                 2.2984,               0.007294,               0.007294,               0.007294
                     84,                  1.567,                 2.0888,                 1.8663,                0.89377,                 0.7283,                0.89695,                 0.4652,                 1.6176,                 1.6386,                 2.1843,               0.007261,               0.007261,               0.007261
                     85,                 1.5353,                 1.9678,                 1.8652,                0.63907,                0.81589,                0.65487,                 0.3416,                  1.569,                 1.7481,                 2.1751,               0.007228,               0.007228,               0.007228
                     86,                 1.6052,                 2.0395,                 1.8469,                0.45184,                0.71154,                0.73806,                0.38683,                 1.6727,                  1.613,                 2.2103,               0.007195,               0.007195,               0.007195
                     87,                 1.5879,                 2.0361,                 1.8571,                0.56435,                0.57866,                0.56401,                0.31266,                 1.6193,                 1.6423,                 2.1924,               0.007162,               0.007162,               0.007162
                     88,                 1.5807,                  2.002,                 1.8518,                0.41635,                0.51923,                0.46867,                0.24044,                 1.6562,                 2.5694,                 2.3022,               0.007129,               0.007129,               0.007129
                     89,                 1.5697,                 1.9499,                 1.8822,                0.27007,                0.46154,                0.46979,                 0.2773,                 1.6789,                 1.5227,                 2.2237,               0.007096,               0.007096,               0.007096
                     90,                 1.5709,                  1.942,                 1.8226,                0.51232,                0.96154,                0.64039,                0.30752,                   1.63,                 1.6351,                 2.2387,               0.007063,               0.007063,               0.007063
                     91,                 1.5838,                 2.0158,                 1.8612,                 0.4394,                0.49749,                0.63198,                0.27843,                 1.7558,                 2.3122,                 2.4491,                0.00703,                0.00703,                0.00703
                     92,                  1.544,                 1.9554,                 1.8321,                0.43495,                0.92308,                0.52728,                0.26994,                 1.6909,                 1.6433,                 2.2781,               0.006997,               0.006997,               0.006997
                     93,                 1.4718,                 1.9176,                 1.7888,                0.67876,                0.84603,                0.84508,                0.38929,                 1.7964,                 1.4742,                 2.3498,               0.006964,               0.006964,               0.006964
                     94,                 1.5062,                 1.9213,                 1.8133,                0.83331,                0.78042,                0.91038,                0.33891,                 1.7823,                 1.7165,                 2.3313,               0.006931,               0.006931,               0.006931
                     95,                 1.5854,                 1.9687,                 1.8539,                0.68555,                0.80769,                0.70634,                0.33251,                 1.7462,                 1.5716,                 2.2808,               0.006898,               0.006898,               0.006898
                     96,                 1.5368,                 1.9791,                 1.8132,                0.89451,                0.81149,                0.95281,                0.39546,                 1.7448,                 1.5101,                 2.3612,               0.006865,               0.006865,               0.006865
                     97,                 1.4819,                 1.8898,                 1.7787,                0.83249,                0.74305,                0.85477,                0.41829,                 1.6141,                 1.2084,                 2.2127,               0.006832,               0.006832,               0.006832
                     98,                 1.4771,                 1.8531,                 1.7882,                0.78402,                0.80852,                0.89559,                0.51353,                 1.4981,                 1.3554,                 2.2228,               0.006799,               0.006799,               0.006799
                     99,                 1.4519,                 1.7566,                 1.7444,                0.81929,                0.59771,                0.73833,                0.40512,                 1.7546,                 2.8538,                 2.3982,               0.006766,               0.006766,               0.006766
                    100,                 1.5862,                 1.8542,                 1.8813,                0.70705,                0.72713,                0.64116,                0.33122,                 1.5541,                  1.615,                 2.2253,               0.006733,               0.006733,               0.006733
                    101,                 1.5566,                 1.9033,                 1.8519,                0.68729,                0.82651,                0.83767,                0.45507,                 1.6185,                 1.3099,                 2.1941,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.4516,                 1.8177,                 1.7668,                0.96038,                0.83584,                0.96991,                0.40251,                 1.6456,                 1.2595,                 2.2632,               0.006667,               0.006667,               0.006667
                    103,                 1.4712,                 1.8517,                 1.7833,                 0.8909,                0.76862,                0.94305,                0.43576,                 1.6163,                 1.3938,                 2.3044,               0.006634,               0.006634,               0.006634
                    104,                 1.5284,                 1.8935,                 1.8287,                0.85804,                0.81875,                0.87062,                0.47827,                 1.6194,                   1.66,                 2.2632,               0.006601,               0.006601,               0.006601
                    105,                 1.5113,                 1.8009,                 1.7687,                0.92353,                0.88462,                0.97701,                0.45909,                 1.6262,                 1.2724,                 2.2313,               0.006568,               0.006568,               0.006568
                    106,                 1.5377,                 1.8212,                 1.7794,                0.95985,                0.77761,                0.94334,                0.45767,                  1.619,                 1.3398,                  2.241,               0.006535,               0.006535,               0.006535
                    107,                 1.4808,                 1.7353,                 1.7678,                0.49689,                0.40385,                0.64316,                0.32838,                 1.9982,                 3.0904,                 2.7128,               0.006502,               0.006502,               0.006502
                    108,                 1.4636,                 1.7664,                 1.7688,                0.87056,                0.81813,                0.95343,                0.50689,                 1.5477,                  1.276,                 2.1993,               0.006469,               0.006469,               0.006469
                    109,                  1.457,                 1.7468,                 1.7194,                0.91594,                0.84615,                0.93709,                0.44036,                 1.6354,                 1.3785,                 2.2391,               0.006436,               0.006436,               0.006436
                    110,                  1.408,                   1.76,                 1.7381,                0.94499,                0.87972,                0.94488,                0.50555,                 1.5722,                 1.3067,                 2.1558,               0.006403,               0.006403,               0.006403
                    111,                 1.4432,                 1.7702,                 1.7663,                0.65281,                0.84615,                 0.6924,                0.38237,                 1.5569,                  1.387,                 2.2235,                0.00637,                0.00637,                0.00637
                    112,                 1.4125,                 1.8129,                 1.7229,                0.50451,                0.75405,                0.72112,                0.43526,                 1.4876,                 1.9102,                 2.1424,               0.006337,               0.006337,               0.006337
                    113,                 1.4091,                 1.6952,                 1.6998,                0.89902,                0.79895,                0.90043,                0.44113,                 1.6514,                 1.3626,                 2.2841,               0.006304,               0.006304,               0.006304
                    114,                  1.473,                 1.7805,                 1.8225,                0.58121,                0.57516,                0.58418,                0.30389,                 1.6594,                 1.5263,                 2.3316,               0.006271,               0.006271,               0.006271
                    115,                  1.423,                 1.7033,                 1.7169,                0.54662,                0.89485,                0.65153,                0.36286,                  1.588,                 1.4747,                 2.1811,               0.006238,               0.006238,               0.006238
                    116,                  1.424,                 1.6846,                 1.7187,                0.59836,                0.89173,                0.63269,                0.38752,                 1.4904,                 1.2629,                 2.1588,               0.006205,               0.006205,               0.006205
                    117,                 1.4007,                 1.6909,                 1.7187,                 0.6776,                0.80677,                0.67022,                  0.389,                 1.5144,                 1.5018,                 2.1806,               0.006172,               0.006172,               0.006172
                    118,                 1.4243,                 1.7341,                  1.745,                0.97545,                0.80769,                0.94461,                0.50922,                 1.6168,                  1.603,                 2.2457,               0.006139,               0.006139,               0.006139
                    119,                 1.3973,                  1.669,                 1.6934,                0.81728,                0.71154,                0.80228,                0.40531,                 1.4679,                 1.0826,                 2.1337,               0.006106,               0.006106,               0.006106
                    120,                  1.405,                 1.6743,                 1.7384,                0.77146,                 0.9561,                0.89151,                0.46159,                 1.6493,                 1.2008,                 2.2898,               0.006073,               0.006073,               0.006073
                    121,                 1.4072,                 1.6625,                 1.7159,                0.79586,                0.88462,                0.89145,                0.49145,                 1.5031,                 1.2726,                 2.1655,                0.00604,                0.00604,                0.00604
                    122,                 1.3403,                 1.7207,                 1.7077,                0.86996,                0.92591,                0.94501,                0.51136,                 1.4815,                 1.4924,                 2.1816,               0.006007,               0.006007,               0.006007
                    123,                 1.3125,                 1.6069,                 1.6486,                0.76551,                0.86918,                0.87536,                0.45063,                 1.3443,                  1.212,                 2.0579,               0.005974,               0.005974,               0.005974
                    124,                 1.3817,                  1.613,                 1.6819,                0.81343,                 0.7423,                0.87333,                0.48933,                 1.4039,                 1.4201,                 2.1003,               0.005941,               0.005941,               0.005941
                    125,                 1.3012,                 1.5739,                 1.6181,                0.70902,                0.91109,                0.91167,                0.44993,                 1.6068,                  1.239,                  2.239,               0.005908,               0.005908,               0.005908
                    126,                 1.3419,                 1.6059,                 1.6451,                0.76646,                0.95131,                0.90194,                0.44003,                 1.6037,                 1.2051,                 2.2611,               0.005875,               0.005875,               0.005875
                    127,                 1.3935,                 1.6454,                 1.6915,                0.60309,                0.84615,                0.81441,                0.46755,                 1.4304,                 1.2956,                 2.1337,               0.005842,               0.005842,               0.005842
                    128,                 1.3306,                 1.5774,                 1.6175,                0.92227,                0.92181,                0.95819,                0.55785,                 1.4813,                 1.1015,                 2.1477,               0.005809,               0.005809,               0.005809
                    129,                  1.336,                 1.5694,                 1.6831,                 0.9626,                 0.8214,                 0.9635,                0.55728,                  1.433,                 1.1282,                  2.056,               0.005776,               0.005776,               0.005776
                    130,                 1.3162,                 1.4649,                 1.6362,                0.98633,                0.87084,                0.96671,                0.52134,                 1.3535,                 1.0785,                 2.0044,               0.005743,               0.005743,               0.005743
                    131,                 1.3179,                 1.5766,                 1.6269,                0.69725,                0.92308,                0.87074,                0.53689,                 1.3471,                 1.2124,                 1.9809,                0.00571,                0.00571,                0.00571
                    132,                 1.3106,                 1.5415,                 1.6304,                0.74187,                0.80769,                0.85531,                0.51928,                 1.3532,                 1.2264,                 2.0143,               0.005677,               0.005677,               0.005677
                    133,                   1.27,                  1.473,                 1.5914,                 0.7709,                0.61346,                0.82261,                0.52292,                 1.3572,                 1.1998,                 1.9714,               0.005644,               0.005644,               0.005644
                    134,                 1.3305,                 1.5194,                 1.6182,                      1,                0.74932,                0.97147,                0.55938,                 1.3956,                 1.2556,                 2.0946,               0.005611,               0.005611,               0.005611
                    135,                  1.289,                 1.4883,                 1.6154,                 0.6138,                0.63462,                0.60585,                0.36256,                 1.5276,                 1.4385,                 2.1765,               0.005578,               0.005578,               0.005578
                    136,                 1.2402,                  1.403,                 1.5598,                 0.7942,                0.84615,                0.77489,                0.38899,                 1.5414,                 1.3154,                 2.1617,               0.005545,               0.005545,               0.005545
                    137,                 1.2945,                  1.459,                 1.6147,                0.64677,                0.80355,                0.78344,                0.46478,                 1.4725,                 1.6728,                 2.1522,               0.005512,               0.005512,               0.005512
                    138,                 1.3294,                 1.4631,                 1.6131,                0.78489,                0.89667,                0.89157,                0.53869,                 1.3584,                 1.1615,                 2.0425,               0.005479,               0.005479,               0.005479
                    139,                 1.2364,                 1.4101,                 1.5578,                  0.955,                0.89967,                0.97875,                0.64176,                 1.2884,                 1.0142,                 1.9644,               0.005446,               0.005446,               0.005446
                    140,                  1.281,                 1.3692,                 1.5956,                  0.936,                0.70141,                0.97442,                 0.5401,                 1.4104,                 1.2026,                 2.0036,               0.005413,               0.005413,               0.005413
                    141,                 1.3045,                 1.4445,                 1.6139,                0.64717,                0.89242,                0.95811,                0.55929,                 1.4425,                 1.3622,                 2.0747,                0.00538,                0.00538,                0.00538
                    142,                 1.3326,                 1.5185,                 1.6216,                0.76345,                0.85571,                0.97967,                0.63198,                 1.2947,                 1.1265,                 1.8817,               0.005347,               0.005347,               0.005347
                    143,                 1.2692,                 1.4123,                  1.608,                0.76782,                0.90109,                0.88103,                0.56847,                 1.3115,                 1.0383,                 1.9425,               0.005314,               0.005314,               0.005314
                    144,                 1.2885,                    1.5,                 1.5858,                 0.9385,                0.91197,                 0.9925,                 0.5916,                 1.3225,                0.92287,                 1.9909,               0.005281,               0.005281,               0.005281
                    145,                 1.2651,                 1.3546,                 1.5874,                0.73833,                0.68982,                 0.8201,                0.48298,                 1.3674,                   1.43,                 1.9848,               0.005248,               0.005248,               0.005248
                    146,                 1.2432,                 1.4136,                 1.5438,                0.76842,                0.94648,                0.90343,                0.49876,                 1.5136,                 1.0532,                 2.1331,               0.005215,               0.005215,               0.005215
                    147,                 1.1797,                    inf,                 1.5004,                0.80093,                0.92308,                0.90167,                0.48505,                 1.5779,                0.98869,                 2.1775,               0.005182,               0.005182,               0.005182
                    148,                 1.2978,                 1.4755,                 1.6426,                0.68487,                0.88462,                0.83491,                0.55832,                 1.4841,                 1.1788,                   2.09,               0.005149,               0.005149,               0.005149
                    149,                 1.2322,                 1.3445,                  1.559,                0.77764,                0.89405,                 0.8921,                0.52072,                 1.5338,                 1.1261,                 2.0757,               0.005116,               0.005116,               0.005116
                    150,                 1.2744,                 1.4903,                 1.5935,                0.95776,                0.88227,                0.97335,                0.58056,                 1.4351,                 1.1267,                 2.0048,               0.005083,               0.005083,               0.005083
                    151,                  1.256,                 1.4099,                 1.5531,                0.69185,                0.84615,                0.81364,                0.52145,                 1.4406,                  1.751,                 2.0587,                0.00505,                0.00505,                0.00505
                    152,                 1.1697,                 1.3527,                  1.546,                0.96572,                0.89285,                0.97475,                0.55383,                 1.2479,                  1.046,                  1.925,               0.005017,               0.005017,               0.005017
                    153,                 1.2777,                 1.3897,                 1.6185,                0.74114,                0.71154,                0.78435,                0.50969,                 1.3407,                 1.2408,                 1.9924,               0.004984,               0.004984,               0.004984
                    154,                 1.3043,                 1.5018,                 1.5703,                0.73164,                0.88462,                0.86892,                0.49841,                 1.4868,                 1.0469,                 2.1656,               0.004951,               0.004951,               0.004951
